Epoch,Training Loss,Validation Loss,WER,CER
1,0.28404863675859193,0.2830908928663676,0.5088224702916817,0.12189958964838159
2,0.2757333701431955,0.2719053358749579,0.5219661505221462,0.1215525692522578
3,0.26822011957243846,0.26918208792464426,0.5177049573880687,0.11919283055861608
4,0.2625486467402339,0.26211299423043055,0.49942984035529947,0.11583107047116695
5,0.2584915461953183,0.2634906355888789,0.5003000840235265,0.11531053987698127
6,0.2541773442191679,0.2593283842083152,0.49450846236946344,0.11453841949560585
7,0.24896453331151513,0.25722084689231317,0.49798943704237186,0.11458179704512132
8,0.24451088840491536,0.27552032846075886,0.5089425039010923,0.11783511325878178
9,0.24283921493554278,0.25201137614159186,0.4917176809506662,0.11223940937128579
10,0.2387335865850538,0.24401422345456275,0.4827451686472212,0.10908586152151092
